country_code,country_id,product,product_code,flow,unit,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
8,Albania,roundwood,14,IMPORTS,1000 m3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.15,14.07,9.26,15.6,12.39
8,Albania,roundwood,14,IMPORTS,1000 US$,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,562.29,1024.65,765.46,1593.72,1078.69
8,Albania,roundwood,14,REMOVALS,1000 m3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76.54,58.82,56.13,51.43
8,Albania,sawlogs and veneer logs,15,REMOVALS,1000 m3,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,124.56,128.06,104.37,136.94
8,Albania,sawlogs and veneer logs,15,REMOVALS,1000 m3,5.36,5.36,5.36,5.36,5.36,5.36,5.36,5.36,5.36,5.36,5.36,51.25,70.68,46.99,80.39
8,Albania,sawlogs and veneer logs,15,REMOVALS,1000 m3,9.63,9.63,9.63,9.63,9.63,9.63,9.64,9.64,9.64,9.64,9.64,73.31,57.38,57.38,56.54
8,Albania,pulpwood,11,REMOVALS,1000 m3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,Albania,pulpwood,11,REMOVALS,1000 m3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,Albania,pulpwood,11,REMOVALS,1000 m3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,Albania,roundwood,14,REMOVALS,1000 m3,65.0,65.0,65.0,65.0,65.0,65.0,65.01,65.01,65.01,65.01,65.01,10.38,3.54,8.4,0.0
8,Albania,roundwood,14,REMOVALS,1000 m3,25.3,25.3,25.3,25.3,25.3,25.3,25.31,25.31,25.31,25.31,25.31,7.15,1.37,0.38,0.0
8,Albania,roundwood,14,REMOVALS,1000 m3,39.69,39.69,39.69,39.69,39.69,39.69,39.7,39.7,39.7,39.7,39.7,3.23,2.16,8.02,0.0
8,Albania,wood charcoal,20,EXPORTS,1000 m.t.,4.0,4.0,2.8,2.7,2.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
8,Albania,wood charcoal,20,EXPORTS,1000 US$,1005.87,1005.87,675.0,710.0,509.0,259.0,259.0,259.0,259.0,259.0,0.0,0.0,0.0,0.0,0.0
8,Albania,wood charcoal,20,IMPORTS,1000 m.t.,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.03,0.08,0.03,0.13,120.69
